eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Erinome,FALSE,23283000,0,0,0.266,164.9,1,0,0,1.6,0,0,0,NA,728.3,0,23/11/2000,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029907812567109,5.38340626207963,5.27952419218338E-12,2.36842105263158E-14,0.155637241967776,11024881144711.1
Isonoe,FALSE,23231000,0,0,0.246,165.2,1,0,0,1.9,0,0,0,NA,725.5,0,23/11/2000,75000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029974770780423,5.39545874047609,7.4449540366336E-12,3.94736842105263E-14,0.155289643437418,18457153858066.5
Praxidike,FALSE,21148000,0,0,0.23,149,1,0,0,3.4,0,0,0,NA,625.3,0,23/11/2000,430000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032927246075279,5.92690429355022,2.38403514303281E-11,2.26315789473684E-13,0.141365648461733,127693599959274
Autonoe,FALSE,24033000,0,0,0.334,152.9,1,0.0015,0,2,0,0,0,NA,715.4,0,10/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.028974493404902,5.21540881288229,8.24925655028653E-12,4.73684210526316E-14,0.160650682309478,20695018323092.5
Thyone,FALSE,21192000,0,0,0.229,148.5,1,0.0015,0,2,0,0,0,NA,627.3,0,11/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032858814647037,5.91458663646659,8.24925655028653E-12,4.73684210526316E-14,0.141659770295113,26615700298452.3
Hermippe,FALSE,21300000,0,0,0.21,150.7,1,0.0015,0,2,0,0,0,NA,633.9,0,19/12/2001,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03269220657277,5.88459718309859,8.24925655028653E-12,4.73684210526316E-14,0.142381705704318,26346478873239.4
Aitne,FALSE,23315000,0,0,0.264,165.1,1,0.0012,0,1.5,0,0,0,NA,730.2,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029866759596826,5.37601672742869,4.64020680953618E-12,2.36842105263158E-14,0.155851148755689,10994638460686.9
Eurydome,FALSE,23148000,0,0,0.276,150.3,1,0.0012,0,1.5,0,0,0,NA,723.9,0,19/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030082231726283,5.41480171073095,4.64020680953618E-12,2.36842105263158E-14,0.15473482270627,11153851166918.1
Euanthe,FALSE,21038000,0,0,0.232,148.9,1,0.0012,0,1.5,0,0,0,NA,620.6,0,11/12/2001,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033099320277593,5.95787764996673,4.64020680953618E-12,2.36842105263158E-14,0.140630343878284,13503392486830.5
Euporie,FALSE,19339000,0,0,0.144,145.8,1,0,0,1,0,0,0,NA,553.1,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.036007187548477,6.48129375872589,2.06231413757163E-12,7.89473684210526E-15,0.129273230357549,5326752409279.86
Orthosie,FALSE,21164000,0,0,0.281,145.9,1,0.00081,0,1,0,0,0,NA,622.6,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03290223965224,5.92240313740314,2.06231413757163E-12,7.89473684210526E-15,0.141472601855689,4447695349698.75
Sponde,FALSE,23790000,0,0,0.312,151,1,0.00081,0,1,0,0,0,NA,748.3,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029270407734342,5.26867339218159,2.06231413757163E-12,7.89473684210526E-15,0.159026327638766,3519991815735.31
Kale,FALSE,23302000,0,0,0.26,165,1,0.00081,0,1,0,0,0,NA,729.5,0,19/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029883400566475,5.3790121019655,2.06231413757163E-12,7.89473684210526E-15,0.155764249123099,3668969841652.78
Pasithee,FALSE,23090000,0,0,0.267,165.1,1,0.00081,0,1,0,0,0,NA,716.3,0,11/12/2001,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030157773928107,5.42839930705933,2.06231413757163E-12,7.89473684210526E-15,0.154347116653178,3736652161003.67
Hegemone,FALSE,23566000,0,0,0.328,155.2,1,0,0,2,0,0,0,NA,739.6,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029548671815327,5.31876092675889,8.24925655028653E-12,2.36842105263158E-14,0.157528980123378,10761679299120.1
Mneme,FALSE,21036000,0,0,0.227,148.6,1,0,0,2,0,0,0,NA,620,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033102490967865,5.95844837421563,8.24925655028653E-12,7.89473684210526E-15,0.140616974704039,4501986760641.88
Aoede,FALSE,23969000,0,0,0.432,158.3,1,0,0,2,0,0,0,NA,761.5,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029051858650757,5.2293345571363,8.24925655028653E-12,4.73684210526316E-14,0.160222868733652,20805682049704
Thelxinoe,FALSE,21165000,0,0,0.221,151.4,1,0,0,2,0,0,0,NA,628.1,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.032900732341129,5.92213182140326,8.24925655028653E-12,7.89473684210526E-15,0.141479286442812,4447275071855.35
Arche,FALSE,23355000,0,0,0.259,165,1,0.0012,0,1.5,0,0,0,NA,762.7,0,31/10/2002,41500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029815606936416,5.36680924855491,4.64020680953618E-12,2.18421052631579E-14,0.15611853224058,10104797907402.3
Kallichore,FALSE,23273000,0,0,0.264,165.5,1,0,0,2,0,0,0,NA,764.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029920680617024,5.38572251106432,8.24925655028653E-12,7.89473684210526E-15,0.155570396096554,3678119192135.89
Helike,FALSE,21064000,0,0,0.156,154.8,1,0,0,4,0,0,0,NA,634.8,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033058583364983,5.95054500569692,3.29970262011461E-11,4.73684210526316E-14,0.140804143143463,26940155363957.6
Carpo,FALSE,17078000,0,0,0.43,51.4,1,0,0,3,0,0,0,NA,456.1,0,2003,45000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.040774388101651,7.33938985829722,1.85608272381447E-11,2.36842105263158E-14,0.114159378874101,20491689851463.2
Eukelade,FALSE,23322000,0,0,0.272,165.5,1,0,0,4,0,0,0,NA,746.4,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029857902409742,5.37442243375354,3.29970262011461E-11,4.73684210526316E-14,0.155897940865545,21976078924762.2
